perturbation_type,ell,a_over_M,ratio_name,numerator_overtone,denominator_overtone,value_real,value_imag,schwarzschild_value_real,schwarzschild_value_imag,fractional_shift_abs,fractional_real_shift,validation_max
scalar,2,0.5,omega0_over_omega1,0,1,0.8326176933899281,0.32736271098501757,0.8360598990645016,0.3242074679754346,0.005207324390953274,-0.004117175908598356,1.8081830764410907e-09
scalar,2,1.0,omega0_over_omega1,0,1,0.8232407469686832,0.33565894952517356,0.8360598990645016,0.3242074679754346,0.019168923939641987,-0.015332815400143258,1.7472980192219998e-09
scalar,2,0.0,omega0_over_omega2,0,2,0.5798143694084337,0.46014035325842645,0.5798143694084337,0.46014035325842645,0.0,0.0,6.106966736840458e-07
scalar,2,0.2,omega0_over_omega2,0,2,0.5786570547476997,0.46038735186689084,0.5798143694084337,0.46014035325842645,0.0015987025584387117,-0.001996008932849939,6.368257716229932e-07
scalar,2,0.5,omega0_over_omega2,0,2,0.5727631786249554,0.4615957284944492,0.5798143694084337,0.46014035325842645,0.009726699587036978,-0.012161117687842705,9.180839390628178e-07
scalar,2,1.0,omega0_over_omega2,0,2,0.553880536198483,0.4649052338334503,0.5798143694084337,0.46014035325842645,0.03562213271029824,-0.04472782079618026,8.631500438472693e-07
scalar,2,0.0,real_to_damping_n0,0,,4.998449673642423,0.0,4.998449673642423,0.0,0.0,0.0,7.913528165069764e-13
scalar,2,0.2,real_to_damping_n0,0,,4.987216075154503,0.0,4.998449673642423,0.0,0.002247416543404638,-0.002247416543404638,6.084073632980392e-13
scalar,2,0.5,real_to_damping_n0,0,,4.9307143504967526,0.0,4.998449673642423,0.0,0.013551266406231647,-0.013551266406231647,6.219483207098473e-13
scalar,2,1.0,real_to_damping_n0,0,,4.757252744862315,0.0,4.998449673642423,0.0,0.04825434775345947,-0.04825434775345947,6.341136312121044e-13
scalar,2,0.0,real_to_damping_n1,1,,1.5691623858130628,0.0,1.5691623858130628,0.0,0.0,0.0,1.8142844205909435e-09
scalar,2,0.2,real_to_damping_n1,1,,1.5650115357638996,0.0,1.5691623858130628,0.0,0.002645264815605678,-0.002645264815605678,1.7882961564609665e-09
scalar,2,0.5,real_to_damping_n1,1,,1.544104524645788,0.0,1.5691623858130628,0.0,0.01596894075069927,-0.01596894075069927,1.8081830764410907e-09
scalar,2,1.0,real_to_damping_n1,1,,1.4795965583317339,0.0,1.5691623858130628,0.0,0.05707874996947515,-0.05707874996947515,1.7472980192219998e-09
scalar,2,0.0,real_to_damping_n2,2,,0.8465970723377578,0.0,0.8465970723377578,0.0,0.0,0.0,6.106966736840458e-07
scalar,2,0.2,real_to_damping_n2,2,,0.8437379368341706,0.0,0.8465970723377578,0.0,0.0033772092970887403,-0.0033772092970887403,6.368257716229932e-07
scalar,2,0.5,real_to_damping_n2,2,,0.8293208311208613,0.0,0.8465970723377578,0.0,0.02040668670066462,-0.02040668670066462,9.180839390628178e-07
scalar,2,1.0,real_to_damping_n2,2,,0.7846694917242796,0.0,0.8465970723377578,0.0,0.07314882443719539,-0.07314882443719539,8.631500438472693e-07
scalar,3,0.0,omega0_over_omega1,0,1,0.9089575354332261,0.2560649743986803,0.9089575354332261,0.2560649743986803,0.0,0.0,5.305159796009103e-11
scalar,3,0.2,omega0_over_omega1,0,1,0.9086275806517535,0.2565507436672857,0.9089575354332261,0.2560649743986803,0.000621846025236634,-0.00036300351623721555,7.273143079311922e-11
scalar,3,0.5,omega0_over_omega1,0,1,0.9069385603688761,0.25901924938405235,0.9089575354332261,0.2560649743986803,0.0037891838052282263,-0.0022211984450821705,1.9561506217434798e-10
scalar,3,1.0,omega0_over_omega1,0,1,0.9014274989598741,0.26686717873797056,0.9089575354332261,0.2560649743986803,0.013943881352518013,-0.008284255512291986,7.887570520720627e-11
