ell,overtone,a_over_M,spectral_N,center_real,center_imag,initial_eigenvalue_real,initial_eigenvalue_imag,residual_norm,selection_score,eigenvector_overlap_previous_a,half_width,grid_size,min_log10_relative_sigma,q10_susceptibility,q50_susceptibility,q10_log10_sigma_min,q50_log10_sigma_min,area_fraction_m10,area_fraction_m9_5,area_fraction_m9,boundary_touch_m10,curvature_trace_indicator,eigen_condition_indicator,nearest_eigenvalue_distance,hit_minimizer_boundary
2,1,0.1,32,0.46342740313790465,-0.2955306921521005,0.46342740313790465,-0.2955306921521005,2.623165926009066e-19,0.0022828825254596766,0.9999999648871736,0.027481964448663493,21,-19.91722472581758,10.556025397059159,10.241404480274433,-9.22025506617616,-8.905357208160309,0.7437641723356009,0.9909297052154195,1.0,True,4679869.979172951,30824.795669714298,0.1997829707250151,False
2,1,0.2,32,0.46216558690205634,-0.29531129832555797,0.46216558690205634,-0.29531129832555797,3.122867245744668e-19,0.007477061889913275,0.9999996876865136,0.027422882444924024,21,-19.840643559256165,10.563851617627023,10.249299090253329,-9.228934469005601,-8.914105123212726,0.746031746031746,0.9931972789115646,1.0,True,4655116.119300645,31229.316774069204,0.19964848848214353,False
2,1,0.35,32,0.45875393170931356,-0.2947106429026162,0.45875393170931356,-0.2947106429026162,5.529481762788305e-20,0.01015918190136334,0.9999977143330943,0.02726304884357337,21,-20.590184152183173,10.58509481176653,10.270728151632088,-9.25250555697717,-8.937862412336036,0.764172335600907,0.9954648526077098,1.0,True,5101677.280511894,32355.347316700732,0.19928007538195966,False
2,1,0.5,32,0.4536427457066632,-0.29379018071495056,0.4536427457066632,-0.29379018071495056,3.5977873275305475e-19,0.017597231479280617,0.9999948599944688,0.0270233422718584,21,-19.773286102799183,10.617147230196453,10.303242432911622,-9.288104059372413,-8.973740859712859,0.7913832199546486,0.9977324263038548,1.0,True,4727386.94642761,34135.13942965711,0.19871488073528099,False
2,1,0.75,32,0.4418740611766308,-0.29157508922089437,0.4418740611766308,-0.29157508922089437,3.308947325678845e-19,0.03551483517156166,0.9999726565755346,0.02647020582631071,21,-19.801188672291808,10.691989448049823,10.379887518152541,-9.37138725065069,-9.058700978225684,0.8526077097505669,1.0,1.0,True,4899774.793338309,38710.705574618536,0.19735183107220208,False
2,1,1.0,32,0.4269714902744878,-0.28857291401866697,0.4269714902744878,-0.28857291401866697,1.0962146899825735e-19,0.04354302821011149,0.9999559586016741,0.025767177775827623,21,-20.2697092729567,10.788880557113274,10.479117711927106,-9.479549342875085,-9.16920942603462,0.9206349206349206,1.0,1.0,True,5394085.019675948,45630.23039095015,0.19549852680356364,False
2,2,0.0,32,0.4305439582991861,-0.508558006731865,0.4305439582991861,-0.508558006731865,4.188000190197572e-19,0.0010000633927813635,,0.03331663796960233,21,-19.710782029359535,12.961507090933916,12.657134383848296,-11.628816942695044,-11.324122468950911,1.0,1.0,1.0,True,2242680.7665158478,8884957.543284763,0.21554295714472013,False
2,2,0.1,32,0.43009007865518417,-0.5084533523303584,0.43009007865518417,-0.5084533523303584,2.4481486292720486e-19,0.0020875382541067746,0.9999999849192944,0.0332979836947225,21,-19.943664986235653,12.965203823827187,12.660865209971895,-11.632799636364885,-11.328139318040023,1.0,1.0,1.0,True,2327874.9986642236,8948562.980374288,0.21551667318574702,False
2,2,0.2,32,0.428737555064118,-0.5081404098870094,0.428737555064118,-0.5081404098870094,3.9469150375673524e-19,0.008202348145211709,0.9999998665060089,0.033242388876346396,21,-19.73538952976265,12.97624804483981,12.672009946795056,-11.644699332975481,-11.340139716366238,1.0,1.0,1.0,True,2256276.171899695,9141323.414865678,0.21543830680868933,False
2,2,0.35,32,0.42508146994439333,-0.5072823778640979,0.42508146994439333,-0.5072823778640979,6.400742502185049e-20,0.009348290972965611,0.9999990270839572,0.03309190486287921,21,-20.523082882999535,13.006239967435352,12.702273561907845,-11.677025367087598,-11.37273794455767,1.0,1.0,1.0,True,2553599.3896281933,9686197.940005008,0.21522215774832393,False
2,2,0.5,32,0.4196069505221198,-0.5059645618167956,0.4196069505221198,-0.5059645618167956,1.877109649621634e-19,0.01431195524670436,0.9999978298410919,0.03286602085516798,21,-20.052268205792043,13.051527562722535,12.747975329769764,-11.725877114174978,-11.421995915126493,1.0,1.0,1.0,True,2397682.3807970006,10571897.678339172,0.21488695481530556,False
2,2,0.75,32,0.40701849195167855,-0.502782150998607,0.40701849195167855,-0.502782150998607,2.9316502060463393e-19,0.03163879045291962,0.9999886521835561,0.0323440081063481,21,-19.85018299229852,13.157017108101103,12.854887229273153,-11.839885844970166,-11.537372369522421,1.0,1.0,1.0,True,2357866.2919816095,12979434.074313175,0.21406385414350074,False
2,2,1.0,32,0.39111575100252904,-0.49844717779237235,0.39111575100252904,-0.49844717779237235,5.798467089715815e-20,0.03795332513319022,0.9999822068080824,0.03167890148550977,21,-20.542682825635918,13.294046447157182,12.990802491215518,-11.988213353090933,-11.685195613607979,1.0,1.0,1.0,True,2679014.0186313307,16956456.088243786,0.21291510193805782,False
3,0,0.0,32,0.6753662325366268,-0.09649962773398167,0.6753662325366268,-0.09649962773398167,2.2126882302681813e-19,0.003989237911323392,,0.03411127842090919,21,-19.788011157048548,7.365612351693548,7.076576625207582,-6.021170270670977,-5.7320725004800845,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,False,4096734.282303251,50.103522700094416,0.19633584260601414,False
3,0,0.1,32,0.6748028804578823,-0.09647314744850556,0.6748028804578823,-0.09647314744850556,6.236843581897178e-19,0.00825110438217087,0.9999999677956254,0.034083206849300295,21,-19.5492589026252,7.366766702971735,7.0777867423881835,-6.0226121009452225,-5.733503906473872,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,False,4020866.652535747,50.1345110505006,0.1962868881397259,False
3,0,0.2,32,0.6731230465477877,-0.09639384455417647,0.6731230465477877,-0.09639384455417647,4.319060849504288e-19,0.004586996502706346,0.9999997136043987,0.03399950032947947,21,-19.70797427018149,7.370199298224227,7.081441379449475,-6.026904675868026,-5.737764370161068,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,False,4094389.518815946,50.228008945666986,0.1961402471795165,False
3,0,0.35,32,0.668580847585088,-0.09617683171956645,0.668580847585088,-0.09617683171956645,5.796889310595632e-19,0.016052723990331336,0.9999979048366776,0.03377315252967986,21,-19.57782189208263,7.379412487722965,7.0912433723904265,-6.038464067947632,-5.749813456130632,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,False,4100489.1814776263,50.48905090822532,0.19573871858206932,False
3,0,0.5,32,0.6617749533438675,-0.09584454856219772,0.6617749533438675,-0.09584454856219772,4.441318349841124e-19,0.01727564226332214,0.9999952898320166,0.03343397472491005,21,-19.6899309421311,7.393047111304394,7.105724522071598,-6.055672017066032,-5.767870613448857,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,False,4219199.513576448,50.90266664896076,0.19512323906251763,False
3,0,0.75,32,0.6460987323439196,-0.09504610763581625,0.6460987323439196,-0.09504610763581625,4.392366344774511e-19,0.03659536731607361,0.9999749169348999,0.032652616071041654,21,-19.686239774445088,7.423860905315543,7.135382958110125,-6.094988682381678,-5.807456358829601,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,False,4410229.802037481,51.95628354003216,0.1936412044590042,False
3,0,1.0,32,0.6262342541563701,-0.09396617452987781,0.6262342541563701,-0.09396617452987781,2.6372332327513567e-19,0.04757270128096022,0.9999593710571861,0.031662240249016045,21,-19.896439966086596,7.462427582587256,7.171958447254823,-6.144903163188385,-5.8543724248874796,0.0022675736961451248,0.0022675736961451248,0.0022675736961451248,False,4758438.098266026,53.4806302163729,0.1916303866616669,False
3,1,0.0,32,0.6606714979876019,-0.2922847851600421,0.6606714979876019,-0.2922847851600421,1.2387718049402154e-19,0.002233762314053247,,0.03612191938038571,21,-20.24628802054153,9.781561968754588,9.457875723816104,-8.442682977104932,-8.11830081779847,0.02947845804988662,0.46485260770975056,0.8480725623582767,False,3057191.1322454903,7934.192195820842,0.19633584260601414,False
3,1,0.1,32,0.6600941976127328,-0.292208165022107,0.6600941976127328,-0.292208165022107,8.84354543322444e-20,0.0021688682407906184,0.9999999632001351,0.03609397323056803,21,-20.39236461483327,9.783825772682308,9.460183104191577,-8.44523494956006,-8.120896716500464,0.02947845804988662,0.4671201814058957,0.8503401360544217,False,3106067.3187742857,7958.938591540888,0.1962868881397259,False
