model,parameter,ell,overtone_i,overtone_j,frequency_distance,normalized_frequency_distance,mode_shape_overlap,possible_coalescence
ks,0.1,2,0,1,0.19978308068668144,0.3634803267831655,0.6778603353038216,False
ks,0.1,3,0,1,0.19628689797985874,0.2719109080655387,0.6703600264407101,False
ks,0.1,4,0,1,0.19477971115123255,0.21566238226204099,0.667095116074597,False
ks,0.2,0,0,1,0.24738050527386138,0.6814944788236651,0.725444298021173,False
ks,0.2,1,0,1,0.21040662849962247,0.5211516261562092,0.7005194643493051,False
ks,0.2,2,0,1,0.19964860000639303,0.3640182383150585,0.6785441758632821,False
ks,0.2,3,0,1,0.19614025720416356,0.2723365800091428,0.671021280633796,False
ks,0.2,4,0,1,0.19462785147267475,0.21600766576077124,0.667746507626325,False
ks,0.35,0,0,1,0.23928034386566976,0.679382422390523,0.737620390739839,False
ks,0.35,1,0,1,0.21012822184676228,0.5228234403330135,0.702518810706183,False
ks,0.35,2,0,1,0.1992799664852695,0.3654763301022929,0.6803919439485161,False
ks,0.35,3,0,1,0.19573870870822527,0.2734908935120872,0.6728084155541909,False
ks,0.35,4,0,1,0.1942121169459436,0.21694407560134574,0.669507177451472,False
ks,0.5,0,0,1,0.24277513624938926,0.6831675596735219,0.7386274207877799,False
ks,0.5,1,0,1,0.20971504989044296,0.5253692845185586,0.7055229926873922,False
ks,0.5,2,0,1,0.19871485259586802,0.3676726121679388,0.6831569851863105,False
ks,0.5,3,0,1,0.19512323639434712,0.27522972332833157,0.6754836424039451,False
ks,0.5,4,0,1,0.19357503718821986,0.218354714779521,0.672143074032886,False
ks,0.75,0,0,1,0.24081296575863106,0.6757235862534475,0.7274226674608485,False
ks,0.75,1,0,1,0.20871894986945483,0.531281720706498,0.7124020140772761,False
ks,0.75,2,0,1,0.19735212447835138,0.3727815042326853,0.689504918337202,False
ks,0.75,3,0,1,0.1936412364400119,0.27927690120070053,0.6816293820962898,False
ks,0.75,4,0,1,0.1920418396717769,0.22163849859609955,0.6781998353567208,False
ks,1.0,0,0,1,0.24289284294253813,0.6909046982420541,0.7546272033192027,False
ks,1.0,1,0,1,0.20731142075088327,0.5387775893227248,0.7210142830538067,False
ks,1.0,2,0,1,0.195498493752788,0.37935567689430616,0.6974963739811098,False
ks,1.0,3,0,1,0.19163038289528875,0.2844901153138682,0.6893722584272529,False
ks,1.0,4,0,1,0.18996319684528915,0.22586924705633754,0.6858324431083987,False
