perturbation_type,ell,a_over_M,ratio_name,numerator_overtone,denominator_overtone,value_real,value_imag,schwarzschild_value_real,schwarzschild_value_imag,fractional_shift_abs,fractional_real_shift,validation_max
gravitational,4,0.0,omega0_over_omega1,0,1,0.9383944886436355,0.2167298411898355,0.9383944886436355,0.2167298411898355,0.0,0.0,1.3792352305161642e-11
gravitational,4,0.2,omega0_over_omega1,0,1,0.938170913860983,0.2171624715273201,0.9383944886436355,0.2167298411898355,0.000505645075566541,-0.00023825244644788484,2.6829252980716285e-11
gravitational,4,0.5,omega0_over_omega1,0,1,0.9370265451943175,0.21936331990042604,0.9383944886436355,0.2167298411898355,0.003081279416499248,-0.0014577488101994807,7.43848407952179e-11
gravitational,4,1.0,omega0_over_omega1,0,1,0.9332938562750621,0.22638733414677067,0.9383944886436355,0.2167298411898355,0.011340189912938817,-0.00543548841164433,2.298115770414292e-11
gravitational,4,0.0,omega0_over_omega2,0,2,0.8103172367759743,0.38140322196783405,0.8103172367759743,0.38140322196783405,0.0,0.0,2.807762221168071e-09
gravitational,4,0.2,omega0_over_omega2,0,2,0.8096634738960131,0.38201286840469545,0.8103172367759743,0.38140322196783405,0.000998123269116158,-0.0008067986836394557,3.808349060741258e-09
gravitational,4,0.5,omega0_over_omega2,0,2,0.8063206672782047,0.3851015257630566,0.8103172367759743,0.38140322196783405,0.006079991626477682,-0.004932104756491224,1.3589802490677995e-08
gravitational,4,1.0,omega0_over_omega2,0,2,0.7954575339645815,0.3948134891361257,0.8103172367759743,0.38140322196783405,0.02234965990288801,-0.018338129977976795,5.1398572333597516e-09
gravitational,4,0.0,real_to_damping_n0,0,,8.593291627010307,0.0,8.593291627010307,0.0,0.0,0.0,6.868825342770505e-14
gravitational,4,0.2,real_to_damping_n0,0,,8.574384002336295,0.0,8.593291627010307,0.0,0.0022002773203439715,-0.0022002773203439715,3.0933642223607694e-13
gravitational,4,0.5,real_to_damping_n0,0,,8.47932537488593,0.0,8.593291627010307,0.0,0.01326223490032164,-0.01326223490032164,1.6340390633653617e-13
gravitational,4,1.0,real_to_damping_n0,0,,8.187995285601861,0.0,8.593291627010307,0.0,0.04716427173663289,-0.04716427173663289,2.1301943888376897e-14
gravitational,4,0.0,real_to_damping_n1,1,,2.8017421521598966,0.0,2.8017421521598966,0.0,0.0,0.0,1.3792352305161642e-11
gravitational,4,0.2,real_to_damping_n1,1,,2.7951790192454404,0.0,2.8017421521598966,0.0,0.0023425185324054917,-0.0023425185324054917,2.6829252980716285e-11
gravitational,4,0.5,real_to_damping_n1,1,,2.7621630397838635,0.0,2.8017421521598966,0.0,0.014126607741373047,-0.014126607741373047,7.43848407952179e-11
gravitational,4,1.0,real_to_damping_n1,1,,2.6607625870377922,0.0,2.8017421521598966,0.0,0.05031853663386603,-0.05031853663386603,2.298115770414292e-11
gravitational,4,0.0,real_to_damping_n2,2,,1.6101195450809365,0.0,1.6101195450809365,0.0,0.0,0.0,2.807762221168071e-09
gravitational,4,0.2,real_to_damping_n2,2,,1.605887382466181,0.0,1.6101195450809365,0.0,0.0026284772628747343,-0.0026284772628747343,3.808349060741258e-09
gravitational,4,0.5,real_to_damping_n2,2,,1.5845762738860276,0.0,1.6101195450809365,0.0,0.015864207892479717,-0.015864207892479717,1.3589802490677995e-08
gravitational,4,1.0,real_to_damping_n2,2,,1.518893422166689,0.0,1.6101195450809365,0.0,0.05665798119956477,-0.05665798119956477,5.1398572333597516e-09
scalar,2,0.0,omega0_over_omega1,0,1,0.8360598990645016,0.3242074679754346,0.8360598990645016,0.3242074679754346,0.0,0.0,1.8142844205909435e-09
