a_over_M,N,mode,omega_real,omega_imag,relative_change_from_previous_N,absolute_error_from_N96,residual_norm,matrix_dimension,sparsity,condition_number,conditioning_warning,branch_status,selection_score,eigenvector_overlap
0.0,96,fundamental,0.48364387218947097,-0.09675877596067525,5.133587120668722e-11,0.0,1.0355691969246011e-19,96,0.0,2.1255195010522072e+21,True,publication_high_n,0.0054414166268894676,1.0000000000000002
0.0,96,first_overtone,0.4638466822563364,-0.29559265256471645,2.157130554481423e-05,0.0,5.944080045092177e-20,96,0.0,3.690724122787174e+21,True,exploratory_high_n_overtone,0.003154605975444154,0.9999999992230746
0.2,16,fundamental,0.4820337080202864,-0.09665387426751866,,2.4194932342145927e-08,8.367251909741881e-20,16,0.0,5.820484425092629e+19,True,tracked,0.001002799397613732,
0.2,16,first_overtone,0.46216975558299794,-0.2953098463806632,,2.016534593380649e-05,6.559663250095891e-19,16,0.0,7.243307049560181e+18,True,tracked,0.004737031130353308,
0.2,24,fundamental,0.4820336878951522,-0.09665386078908002,4.926825133784683e-08,7.240752201422828e-11,9.005007294854755e-19,24,0.0,1.3106407364004934e+19,True,tracked,0.003024009975689794,0.9999999999999872
0.2,24,first_overtone,0.4621656388010395,-0.2953112990186832,7.959650178872937e-06,1.9784457175919574e-05,2.9779068540822306e-19,24,0.0,3.897576001987505e+19,True,tracked,0.0010115415336808546,0.9999999998830719
0.2,32,fundamental,0.48203368791930384,-0.09665386072209685,1.448334975617837e-10,4.40770043244854e-11,1.8636199761124484e-19,32,0.0,1.1753821221679188e+20,True,tracked,0.002445677734324592,1.0000000000000002
0.2,32,first_overtone,0.46216558690205634,-0.29531129832555797,9.463557911830691e-08,1.9803517958675174e-05,3.122867245744668e-19,32,0.0,6.9285692057237864e+19,True,leaver_validated_reference_grid,0.004098358067173643,0.9999999999999847
0.2,48,fundamental,0.48203368791956047,-0.09665386072271115,1.3541728811824258e-12,4.350843173670477e-11,1.46316130658485e-19,48,0.0,3.537321782439812e+20,True,tracked,0.0030074231281922857,1.0
0.2,48,first_overtone,0.46216558410927894,-0.29531129661755395,5.968856713168019e-09,1.980610822319019e-05,9.718758371557648e-20,48,0.0,5.284395157192473e+20,True,exploratory_high_n_overtone,0.0019976297341662455,1.0
0.2,64,fundamental,0.4820336879226819,-0.0966538607234787,6.5383368280659736e-12,4.0544550910367245e-11,2.254332677079602e-19,64,0.0,4.1961620873864426e+20,True,tracked,0.005598765619300622,1.0
0.2,64,first_overtone,0.4621655590046142,-0.2953114076171413,2.0749666219053994e-07,1.9711419514227164e-05,1.0381985104896306e-19,64,0.0,9.061613936803613e+20,True,exploratory_high_n_overtone,0.002578726927614048,0.999999999999929
0.2,96,fundamental,0.48203368795486956,-0.09665386074813263,8.24699186378085e-11,0.0,8.244484193809914e-21,96,0.0,2.6630407505433913e+22,True,publication_high_n,0.0010000001194600111,1.0000000000000002
0.2,96,first_overtone,0.46217263537194886,-0.295329805037738,3.593972713071003e-05,0.0,3.323056894822013e-20,96,0.0,6.584979524527312e+21,True,exploratory_high_n_overtone,0.0036407073101492127,0.9999999978672633
0.5,16,fundamental,0.47388694582243346,-0.09610919396807033,,2.2471704352195002e-08,1.6489457185141542e-18,16,0.0,2.9119558641432827e+18,True,tracked,0.0015662670374784287,
0.5,16,first_overtone,0.453646661609584,-0.29378825313457063,,7.3116117548999425e-06,1.0561392689481468e-18,16,0.0,4.4353350038564634e+18,True,tracked,0.01679695927174486,
0.5,24,fundamental,0.4738869263556322,-0.09610918276724292,4.644792250410596e-08,6.363747410484831e-11,1.9381632897001248e-19,24,0.0,6.006583042329138e+19,True,tracked,0.001000067349486435,0.9999999999999887
0.5,24,first_overtone,0.45364279656408063,-0.2937901721609516,7.984237191237234e-06,6.167072177972088e-06,2.4033907359353774e-19,24,0.0,4.763330768927478e+19,True,tracked,0.0010692339336770133,0.9999999998923933
0.5,32,fundamental,0.4738869263709161,-0.09610918270333074,1.3590394894955782e-10,6.221490750780936e-12,1.6911829419321447e-19,32,0.0,1.2778701759968166e+20,True,tracked,0.001779055562471457,1.0000000000000002
0.5,32,first_overtone,0.4536427457066632,-0.29379018071495056,9.54207832778649e-08,6.185151691465291e-06,3.5977873275305475e-19,32,0.0,5.933160582664803e+19,True,leaver_validated_reference_grid,0.003784863649137392,0.9999999999999856
0.5,48,fundamental,0.47388692637037416,-0.09610918270527134,4.166932208185643e-12,5.850058639215978e-12,1.2531691241365835e-19,48,0.0,4.0755130738759297e+20,True,tracked,0.0024570368827646245,1.0000000000000002
0.5,48,first_overtone,0.4536427311344793,-0.2937901774023661,2.7650084487443694e-08,6.195372219604882e-06,9.753212526353217e-20,48,0.0,5.1960458895898595e+20,True,exploratory_high_n_overtone,0.0019123121381278872,0.9999999999999988
0.5,64,fundamental,0.473886926370446,-0.09610918270340535,3.861926730562044e-12,6.5692331107359e-12,7.646400716863114e-20,64,0.0,1.2208959826275923e+21,True,tracked,0.003814337840267092,1.0
0.5,64,first_overtone,0.4536427499524996,-0.2937901528632986,5.721690147247343e-08,6.207083804149203e-06,5.777420283829025e-20,64,0.0,1.6069779103047567e+21,True,exploratory_high_n_overtone,0.0028820968153895864,0.9999999999999949
0.5,96,fundamental,0.4738869263759794,-0.096109182706946,1.3585856983985432e-11,0.0,5.098060049711325e-20,96,0.0,4.2505160667529793e+21,True,publication_high_n,0.0024783714253653203,1.0
0.5,96,first_overtone,0.45364586568914556,-0.29379552129645037,1.1484671057065708e-05,0.0,2.5206874904935318e-20,96,0.0,8.56789272197011e+21,True,exploratory_high_n_overtone,0.001242060105499224,0.9999999997942007
1.0,16,fundamental,0.44836242586060293,-0.09424818425109038,,1.752262420301111e-08,9.622586755027777e-19,16,0.0,4.759067465320296e+18,True,tracked,0.005435896761649239,
1.0,16,first_overtone,0.4269742792113136,-0.2885697521693848,,7.273890618855321e-05,3.968126650509209e-19,16,0.0,1.1256992119494332e+19,True,tracked,0.05252694989528066,
1.0,24,fundamental,0.448362409008405,-0.09424817920890874,3.83933586888209e-08,1.0024873647433713e-10,9.199406031687914e-20,24,0.0,1.2086719033118628e+20,True,tracked,0.0010000556703619098,0.9999999999999923
1.0,24,first_overtone,0.42697152681997463,-0.28857288010821247,8.084874730360181e-06,7.348681949883646e-05,4.519634956635316e-19,24,0.0,2.4189007143332962e+19,True,tracked,0.003105983027424404,0.9999999999159093
1.0,32,fundamental,0.4483624090017799,-0.0942481791587782,1.1036821272411025e-10,9.2805048351053e-11,2.794290444993104e-19,32,0.0,7.39162090536911e+19,True,tracked,0.004819015947673427,1.0000000000000002
1.0,32,first_overtone,0.4269714902744878,-0.28857291401866697,9.674071327181893e-08,7.350202486893085e-05,1.0962146899825735e-19,32,0.0,1.8608410284315473e+20,True,leaver_validated_reference_grid,0.001890665257629223,0.999999999999988
1.0,48,fundamental,0.44836240900104274,-0.09424817916188052,6.959797367922261e-12,9.362986528129684e-11,4.549298753476956e-20,48,0.0,1.073606188016498e+21,True,tracked,0.004934195432941754,1.0
1.0,48,first_overtone,0.4269714630214645,-0.28857291631029447,5.306984326400886e-08,7.352465395389925e-05,1.7649567205394502e-20,48,0.0,2.745689197664426e+21,True,exploratory_high_n_overtone,0.0019143590953864364,0.9999999999999966
1.0,64,fundamental,0.4483624090013222,-0.09424817915922012,5.838635479327661e-12,9.326899153129664e-11,1.5074571871703994e-19,64,0.0,5.923988354044995e+20,True,tracked,0.008046035259179235,1.0000000000000002
1.0,64,first_overtone,0.426971482811342,-0.2885728799472149,8.033365565644134e-08,7.35252416315854e-05,7.859578732835427e-20,64,0.0,1.129912466008972e+21,True,exploratory_high_n_overtone,0.004195157515705414,0.9999999999999916
1.0,96,fundamental,0.44836240909457853,-0.09424817915768438,2.0357249222655939e-10,0.0,4.0165741278601735e-20,96,0.0,5.162250835324125e+21,True,publication_high_n,0.0015913257199739095,1.0000000000000002
1.0,96,first_overtone,0.4270355479326775,-0.28860895793753105,0.0001426722900649956,0.0,5.340117124720999e-20,96,0.0,3.8696902950244555e+21,True,exploratory_high_n_overtone,0.0023225836495683037,0.9999999735434828
