model,parameter,ell,overtone,spectral_N,center_real,center_imag,q10_susceptibility,q50_susceptibility,area_fraction_m10,curvature_trace_indicator,eigen_condition_indicator,nearest_eigenvalue_distance,overlap_previous_parameter,hit_minimizer_boundary
ks,0.1,4,0,32,0.866692801862889,-0.09636511972055588,7.084550892038725,6.760337645252662,0.002770083102493075,2078122.2061111121,41.4636601305522,0.1947797164986592,0.9999999490704535,False
ks,0.2,4,0,32,0.8645374140302179,-0.09628553855213635,7.086960389497167,6.762337076101157,0.002770083102493075,2065004.057209491,41.500800349145756,0.19462785696911197,0.9999995472970373,False
ks,0.35,4,0,32,0.8587094521922662,-0.09606775075702156,7.093488881206695,6.767733728783942,0.002770083102493075,2051201.7580252013,41.60624564994462,0.19421211193799773,0.999996692572503,False
ks,0.5,4,0,32,0.8499773147730515,-0.09573424166174234,7.103659046066624,6.777581415912284,0.002770083102493075,2084034.675027066,41.77742827084781,0.19357503593059613,0.9999925822948631,False
ks,0.75,4,0,32,0.8298656371099078,-0.094932650292081,7.1287196745623165,6.799233065530881,0.002770083102493075,2220595.259552571,42.22541260892178,0.19204185049976394,0.9999606819912996,False
ks,1.0,4,0,32,0.8043830653957872,-0.09384796904808199,7.161454344083909,6.829340065061665,0.002770083102493075,2317978.828615481,42.8740658925306,0.1899631958895412,0.999936765166925,False
ks,0.0,4,1,32,0.8558080351189341,-0.29087602252126094,9.29640610282336,8.925052628624796,0.002770083102493075,1653314.7328628867,3643.244868852194,0.1948304165533451,,False
ks,0.1,4,1,32,0.8550741981106861,-0.29079800275772977,9.298353068785083,8.927280200088568,0.002770083102493075,1629512.201040173,3651.174743990125,0.1947797164986592,0.9999999582052386,False
ks,0.2,4,1,32,0.8528860569179052,-0.2905643294322282,9.30416299335341,8.933931565505612,0.002770083102493075,1647108.0839554626,3674.962126369251,0.19462785696911197,0.9999996287020925,False
ks,0.35,4,1,32,0.8469698280996736,-0.28992472290293636,9.320902829361545,8.951978297697442,0.002770083102493075,1640886.9971424993,3740.3934336036004,0.19421211193799773,0.999997291757906,False
ks,0.5,4,1,32,0.8381062944097141,-0.2889449385992173,9.344596360188467,8.979155873316413,0.002770083102493075,1692715.2421084726,3841.7445282332346,0.19357503593059613,0.999993946250656,False
ks,0.75,4,1,32,0.81769637005064,-0.2865885431903008,9.400757802626277,9.038341594600533,0.002770083102493075,1740956.3115263742,4093.186388260589,0.19204185049976394,0.9999681665398015,False
ks,1.0,4,1,32,0.7918462266053079,-0.2833970219755755,9.477235650880079,9.113928294136002,0.002770083102493075,1826562.37786019,4458.235609511006,0.1899631958895412,0.9999496146841499,False
ks,0.0,0,0,48,0.1104549330307031,-0.10489569286824788,12.069449699191257,11.759652438075875,1.0,19269837.787663482,67068.95774763379,0.24420315739364373,,False
ks,0.1,0,0,48,0.11035838930264268,-0.10487452931424662,12.072243955507433,11.762290895142538,1.0,19523134.205305316,67435.0269587705,0.2441832402725799,0.9999999971039526,False
ks,0.2,0,0,48,0.11007020434329245,-0.1048110351953599,12.080589206078855,11.770170126797867,1.0,18135976.497185536,68540.47499845644,0.24412184277420712,0.9999999742967819,False
ks,0.35,0,0,48,0.10928867162501091,-0.10463642200596748,12.103253710805419,11.791563558771553,1.0,17847313.951871477,71636.72295655939,0.24395099826829797,0.999999812980458,False
ks,0.5,0,0,48,0.10811137697439155,-0.1043666723125141,12.13748720363598,11.823861971196411,1.0,18332128.15836908,76585.65654081306,0.2436795144048911,0.9999995834293964,False
ks,0.75,0,0,48,0.10537104782548089,-0.10370721575608047,12.217609206025193,11.900243182762619,1.0,18472840.895369112,89573.20086073747,0.24322815716824575,0.9999978165425192,False
ks,1.0,0,0,48,0.10184125399824037,-0.1027915158265507,12.320916723635703,11.997383861179546,1.0,19410991.01186421,109866.08060467095,0.24234492839250044,0.9999965196156092,False
ks,0.0,0,1,48,0.08635766997840996,-0.3479070176957409,16.913981778353865,16.60237321418353,1.0,3913062.933223089,7391718028.436553,0.24420315739364373,,False
ks,0.1,0,1,48,0.0862560013215336,-0.3478653310406177,16.918219619057226,16.606499413987653,1.0,4005641.300531439,7458010962.783289,0.21557778099052216,0.9999999658288284,False
ks,0.2,0,1,48,0.08591738804046854,-0.3477351294802141,16.931897946450047,16.620019139415973,1.0,3100051.722543521,7676494726.646819,0.20861648772872457,0.9999996391771646,False
ks,0.35,0,1,48,0.08492344795616018,-0.34736760136219685,16.971767900060065,16.659594628155073,1.0,3103946.3942894,8346244019.950372,0.23064121106171712,0.9999970086186434,False
ks,0.5,0,1,48,0.08364696616088788,-0.3468150139116095,17.02457307299922,16.71111914760778,1.0,3314318.25068614,9339412065.00197,0.17253105755681522,0.9999947603930127,False
ks,0.75,0,1,48,0.08001020307345692,-0.34560960101287075,17.17789890705782,16.861336968436,1.0,3080270.1412480753,12928141290.240036,0.20149167969900067,0.9999627383699353,False
ks,1.0,0,1,48,0.0762601163393368,-0.3437825316624992,17.334789081042043,17.020597229067175,1.0,3180964.8012932222,18200612387.313694,0.14205348746130336,0.9999569191520333,False
ks,0.0,1,0,48,0.2929361332672485,-0.0976599889136898,9.892169248365693,9.615687537956953,0.05817174515235457,14321023.222647533,906.3639627061002,0.2105336505130303,,False
