perturbation_type,ell,overtone,mode,confidence_tier,a_over_M,spectral_N,spectral_real,spectral_imag,leaver_real,leaver_imag,spectral_leaver_relative_difference,continued_fraction_abs,polynomial_backward_error_raw,schwarzschild_literature_real,schwarzschild_literature_imag,literature_relative_error,literature_tolerance,spectral_leaver_validation_passed,literature_validation_passed,literature_source
scalar,4,1,first overtone,validated_low_lying,1.0,32,0.7918462266053079,-0.2833970219755755,0.791846226619132,-0.2833970219921965,2.570484311862887e-11,4.577566798522237e-16,1.140540349412153e-20,,,,,True,,
scalar,4,2,second overtone,exploratory_diagnostic,1.0,32,0.767951818583102,-0.4783818783524141,0.7679518157875469,-0.4783818813486051,4.529176946400924e-09,2.1391321343824536e-14,1.3844598713848932e-20,,,,,True,,
gravitational,2,0,fundamental,robust_quantitative,0.0,32,0.3736716844139545,-0.0889623156894583,0.37367168441804177,-0.08896231568893574,1.0727380586397459e-11,2.237726045655905e-16,9.20021225522901e-21,0.37367168,-0.08896232,1.607035238917671e-08,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
gravitational,2,1,first overtone,validated_low_lying,0.0,32,0.34671101029320683,-0.2739148715701034,0.34671099687916335,-0.2739148752912349,3.150476342345582e-08,4.335559509131367e-16,1.3289986533839514e-20,0.346710996,-0.273914876,2.555760031816671e-09,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
gravitational,2,2,second overtone,exploratory_diagnostic,0.0,32,0.3010516248851582,-0.47828247593922674,0.30105345461229804,-0.47827698321961465,1.0244249051467922e-05,1.616509124176106e-15,1.1289462555329005e-20,0.301053454,-0.478276983,1.1510296916200562e-09,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
gravitational,2,0,fundamental,robust_quantitative,0.2,32,0.3723833690964139,-0.08885653412628328,0.3723833691006361,-0.08885653412567836,1.1141247883103491e-11,1.0007415106216802e-16,1.6652604543643394e-20,,,,,True,,
gravitational,2,1,first overtone,validated_low_lying,0.2,32,0.3453154552510342,-0.27361924955807726,0.34531544193753316,-0.2736192538772392,3.1768589222932424e-08,4.710277376051325e-16,3.94838444027325e-21,,,,,True,,
gravitational,2,2,second overtone,exploratory_diagnostic,0.2,32,0.2994621861995986,-0.4778735084922033,0.29946368274710694,-0.4778677962249519,1.0470862577010254e-05,5.2650797949824194e-15,1.430775297604821e-21,,,,,True,,
gravitational,2,0,fundamental,robust_quantitative,0.5,32,0.3658681292752198,-0.08830991915966642,0.3658681292784279,-0.088309919158722,8.88535659030065e-12,2.1412613511737565e-13,1.3509695053004346e-20,,,,,True,,
gravitational,2,1,first overtone,validated_low_lying,0.5,32,0.3382564825944356,-0.2720895406221235,0.33825647003918813,-0.27208954767335297,3.317095888268997e-08,1.6347324251928577e-11,5.840557147429699e-21,,,,,True,,
