perturbation_type,ell,overtone,mode,a_over_M,leaver_real,leaver_imag,schwarzschild_real,schwarzschild_imag,delta_real,fractional_real_shift,damping,schwarzschild_damping,delta_damping,fractional_damping_shift,quality_factor,fractional_quality_shift,complex_shift_abs,fractional_complex_shift,spectral_leaver_relative_difference
scalar,2,2,second overtone,0.0,0.43054405437657595,-0.5085584021542734,0.43054405437657595,-0.5085584021542734,0.0,0.0,0.5085584021542734,0.5085584021542734,0.0,0.0,0.4232985361688789,0.0,0.0,0.0,6.106966736840458e-07
scalar,2,2,second overtone,0.2,0.42873768188892974,-0.5081408138380228,0.43054405437657595,-0.5085584021542734,-0.0018063724876462017,-0.004195557851244313,0.5081408138380228,0.5085584021542734,-0.00041758831625060555,-0.0008211216538389397,0.4218689684170853,-0.0033772092970887403,0.0018540122885229598,0.0027824105147843435,6.368257716229932e-07
scalar,2,2,second overtone,0.5,0.41960733599435157,-0.5059650261373936,0.43054405437657595,-0.5085584021542734,-0.010936718382224375,-0.025402088987294572,0.5059650261373936,0.5085584021542734,-0.0025933760168798115,-0.00509946548104243,0.41466041556043065,-0.02040668670066462,0.01123999146516633,0.016868426726384007,9.180839390628178e-07
scalar,2,2,second overtone,1.0,0.39111629784924434,-0.49844718314430964,0.43054405437657595,-0.5085584021542734,-0.0394277565273316,-0.09157659042446342,0.49844718314430964,0.5085584021542734,-0.010111219009963757,-0.019882119668325673,0.3923347458621398,-0.07314882443719539,0.04070362065770062,0.061085993231471986,8.631500438472693e-07
scalar,3,0,fundamental,0.0,0.6753662325366205,-0.09649962773400962,0.6753662325366205,-0.09649962773400962,0.0,0.0,0.09649962773400962,0.09649962773400962,0.0,0.0,3.4993204035884555,0.0,0.0,0.0,4.1970000564771457e-14
scalar,3,0,fundamental,0.2,0.6731230465476425,-0.09639384455437679,0.6753662325366205,-0.09649962773400962,-0.0022431859889779915,-0.003321436401332604,0.09639384455437679,0.09649962773400962,-0.00010578317963283457,-0.0010962029814707058,3.49152505359368,-0.0022276754042818395,0.002245678842185677,0.0032916955126623907,3.637513774822398e-13
scalar,3,0,fundamental,0.5,0.6617749533439771,-0.09584454856224056,0.6753662325366205,-0.09649962773400962,-0.013591279192643468,-0.02012430965284677,0.09584454856224056,0.09649962773400962,-0.0006550791717690602,-0.006788411387189101,3.452334865525641,-0.013427046581568302,0.013607056949012484,0.019945099654593727,1.7595246298900246e-13
scalar,3,0,fundamental,1.0,0.626234254156411,-0.09396617452988719,0.6753662325366205,-0.09649962773400962,-0.04913197838020955,-0.07274864512499217,0.09396617452988719,0.09649962773400962,-0.0025334532041224322,-0.02625350235656464,3.332232355363306,-0.04774871373704597,0.04919725281650244,0.07211288332475126,6.619785404933111e-14
scalar,3,1,first overtone,0.0,0.6606714979559625,-0.2922847851384119,0.6606714979559625,-0.2922847851384119,0.0,0.0,0.2922847851384119,0.2922847851384119,0.0,0.0,1.1301845521023282,0.0,0.0,0.0,5.305159796009103e-11
scalar,3,1,first overtone,0.2,0.6583728165233457,-0.2919786784960549,0.6606714979559625,-0.2922847851384119,-0.0022986814326168004,-0.0034793107311706984,0.2919786784960549,0.2922847851384119,-0.0003061066423569736,-0.001047289006891058,1.127433037087743,-0.0024345714241686286,0.0023189733946624496,0.0032099254892344197,7.273143079311922e-11
scalar,3,1,first overtone,0.5,0.6467459451134298,-0.29038813577469175,0.6606714979559625,-0.2922847851384119,-0.013925552842532718,-0.021077877410508386,0.29038813577469175,0.2922847851384119,-0.0018966493637201376,-0.0064890458216016154,1.113588789342329,-0.014684117500215556,0.014054120419971897,0.019453728735600417,1.9561506217434798e-10
scalar,3,1,first overtone,1.0,0.6103582494443323,-0.2849377890899865,0.6606714979559625,-0.2922847851384119,-0.050313248511630215,-0.07615471329895918,0.2849377890899865,0.2922847851384119,-0.007346996048425369,-0.02513643002302083,1.0710377366821893,-0.05233376735694727,0.05084684185599572,0.07038225367151735,7.887570520720627e-11
scalar,3,2,second overtone,0.0,0.6336258076943235,-0.4960082304031267,0.6336258076943235,-0.4960082304031267,0.0,0.0,0.4960082304031267,0.4960082304031267,0.0,0.0,0.6387250945204571,0.0,0.0,0.0,5.717530994281813e-09
scalar,3,2,second overtone,0.2,0.6312250228277949,-0.4955360614922207,0.6336258076943235,-0.4960082304031267,-0.0024007848665286158,-0.0037889631977976704,0.4955360614922207,0.4960082304031267,-0.0004721689109060123,-0.0009519376533777692,0.6369112884811758,-0.0028397287891797104,0.002446775726497832,0.0030406912351213433,6.749811652112841e-09
scalar,3,2,second overtone,0.5,0.6190857459282751,-0.49307958790379913,0.6336258076943235,-0.4960082304031267,-0.014540061766048384,-0.02294739511788141,0.49307958790379913,0.4960082304031267,-0.0029286424993275606,-0.005904423192629949,0.6277746646947593,-0.01714419852866311,0.01483207143487954,0.018432318549802252,3.822904680427064e-08
scalar,3,2,second overtone,1.0,0.5811473869266748,-0.4846289433013186,0.6336258076943235,-0.4960082304031267,-0.05247842076764875,-0.0828224168434844,0.4846289433013186,0.4960082304031267,-0.011379287101808078,-0.022941730407496773,0.5995797351349543,-0.061286709605315244,0.05369797781305887,0.06673229945501226,9.381428039120406e-09
scalar,4,0,fundamental,0.0,0.8674156417378789,-0.09639169234802263,0.8674156417378789,-0.09639169234802263,0.0,0.0,0.09639169234802263,0.09639169234802263,0.0,0.0,4.4994315412892165,0.0,0.0,0.0,3.8553806534114085e-14
scalar,4,0,fundamental,0.2,0.8645374140304737,-0.09628553855210949,0.8674156417378789,-0.09639169234802263,-0.002878227707405201,-0.003318164405749743,0.09628553855210949,0.09639169234802263,-0.00010615379591313867,-0.0011012753622985467,4.489445803756855,-0.0022193331403594506,0.0028801846058997276,0.003300106758742693,2.956749578453687e-13
scalar,4,0,fundamental,0.5,0.8499773147730099,-0.09573424166165954,0.8674156417378789,-0.09639169234802263,-0.017438326964869022,-0.020103772777178768,0.09573424166165954,0.09639169234802263,-0.0006574506863630813,-0.00682061566041763,4.439254440312843,-0.013374378612977172,0.017450715995015142,0.0199949772948872,1.0834519104755332e-13
scalar,4,0,fundamental,1.0,0.804383065395777,-0.09384796904803688,0.8674156417378789,-0.09639169234802263,-0.06303257634210191,-0.07266709672864015,0.09384796904803688,0.09639169234802263,-0.0025437232999857423,-0.026389445376699253,4.285564586826842,-0.04753199431968584,0.06308388231989052,0.07228132043521075,5.710379853424436e-14
scalar,4,1,first overtone,0.0,0.8558080351237757,-0.2908760225332742,0.8558080351237757,-0.2908760225332742,0.0,0.0,0.2908760225332742,0.2908760225332742,0.0,0.0,1.471087282599715,0.0,0.0,0.0,1.4329415127939906e-11
scalar,4,1,first overtone,0.2,0.8528860569232423,-0.29056432945505567,0.8558080351237757,-0.2908760225332742,-0.002921978200533415,-0.0034142916175247274,0.29056432945505567,0.2908760225332742,-0.00031169307821854453,-0.0010715667640941048,1.467637232902613,-0.0023452379324529217,0.002938555628093817,0.0032510119684685933,2.6018278591170056e-11
