case,a_over_M,overtone,N,omega_real,omega_imag,cf_real_order128_depth320,cf_imag_order128_depth320,cf_residual_abs,absolute_error_from_cf,movement_from_previous_N
scalar_l2_n1_a0,0.0,1,32,0.46385057891627257,-0.2956039379805023,0.46385057901976556,-0.2956039369879625,3.554447978966673e-16,9.979208383246017e-10,5.195728923126061e-08
scalar_l2_n1_a0,0.0,1,48,0.4638505786004547,-0.2956039368116171,0.46385057901976556,-0.2956039369879625,3.554447978966673e-16,4.54883825302422e-10,1.2107986763051065e-09
scalar_l2_n1_a0,0.0,1,64,0.46385060361144476,-0.29560385081459994,0.46385057901976556,-0.2956039369879625,3.554447978966673e-16,8.961361001474304e-08,8.956023998658406e-08
scalar_l2_n1_a0,0.0,1,80,0.4638509380810954,-0.29560488537087787,0.46385057901976556,-0.2956039369879625,3.554447978966673e-16,1.0140784943694562e-06,1.0872794670146953e-06
scalar_l2_n1_a0,0.0,1,96,0.4638466822563364,-0.29559265256471645,0.46385057901976556,-0.2956039369879625,3.554447978966673e-16,1.1938298589782218e-05,1.2951972473798468e-05
scalar_l2_n1_a0,0.0,1,112,0.4638531884207797,-0.29559325273237264,0.46385057901976556,-0.2956039369879625,3.554447978966673e-16,1.0998285828356987e-05,6.533787338053991e-06
scalar_l2_n1_a0,0.0,1,128,0.46360133610449644,-0.2956922888474277,0.46385057901976556,-0.2956039369879625,3.554447978966673e-16,0.0002644391837130233,0.00027062472411524434
scalar_l2_n1_a1,1.0,1,16,0.4269742792113136,-0.2885697521693848,0.42697148957556297,-0.2885729134520976,6.112007782224858e-14,4.216132826603751e-06,
scalar_l2_n1_a1,1.0,1,24,0.42697152681997463,-0.28857288010821247,0.42697148957556297,-0.2885729134520976,6.112007782224858e-14,4.998960769430472e-08,4.166492456783057e-06
scalar_l2_n1_a1,1.0,1,32,0.4269714902744878,-0.28857291401866697,0.42697148957556297,-0.2885729134520976,6.112007782224858e-14,8.997203513755871e-10,4.985470423291193e-08
scalar_l2_n1_a1,1.0,1,48,0.4269714630214645,-0.28857291631029447,0.42697148957556297,-0.2885729134520976,6.112007782224858e-14,2.6707479009878538e-08,2.7349201718380485e-08
scalar_l2_n1_a1,1.0,1,64,0.426971482811342,-0.2885728799472149,0.42697148957556297,-0.2885729134520976,6.112007782224858e-14,3.4180869650415684e-08,4.1399430022815266e-08
scalar_l2_n1_a1,1.0,1,80,0.4269706129957886,-0.288572351989348,0.42697148957556297,-0.2885729134520976,6.112007782224858e-14,1.040976714469127e-06,1.0175060718315122e-06
scalar_l2_n1_a1,1.0,1,96,0.4270355479326775,-0.28860895793753105,0.42697148957556297,-0.2885729134520976,6.112007782224858e-14,7.350291182241923e-05,7.45422126794479e-05
scalar_l2_n1_a1,1.0,1,112,0.42692159456486745,-0.2885012901788929,0.42697148957556297,-0.2885729134520976,6.112007782224858e-14,8.728920527110786e-05,0.0001567728174315099
scalar_l2_n1_a1,1.0,1,128,0.42797872902327233,-0.28548219941150216,0.42697148957556297,-0.2885729134520976,6.112007782224858e-14,0.003250699091850215,0.00319881889529419
