a_over_M,N,mode,baseline_time_domain_real,baseline_time_domain_imag,baseline_matrix_pencil_real,baseline_matrix_pencil_imag,spectral_real,spectral_imag,spectral_residual_real,spectral_residual_imag,schwarzschild_reference_relative_error,matrix_dimension,sparsity,polynomial_backward_error_raw,residual_norm,hermiticity_error,psd_min_eigenvalue,branch_status,selection_score,eigenvector_overlap
0.0,96,first_overtone,,,,,0.4638466822563364,-0.29559265256471645,0.4638466822563364,-0.29559265256471645,,96,0.0,2.596663428864917e-22,5.944080045092177e-20,0.0,-2.6025320291784207e-14,exploratory_high_n_overtone,0.0021052007581285237,0.9999999992230746
0.2,16,fundamental,0.4820323922542123,-0.09665347072094715,0.48204305025987254,-0.0966583526070166,0.4820337080202864,-0.09665387426751866,0.4820337080202864,-0.09665387426751866,,16,0.0,1.3338540355664561e-20,8.367251909741881e-20,0.0,-4.1243665554491466e-16,tracked,0.001002799397613732,
0.2,16,first_overtone,,,,,0.46216975558299794,-0.2953098463806632,0.46216975558299794,-0.2953098463806632,,16,0.0,1.0177033997428999e-19,6.559663250095891e-19,0.0,-2.4434634080031892e-17,tracked,0.004737031130353308,
0.2,24,fundamental,0.4820323922542123,-0.09665347072094715,0.48204305025987254,-0.0966583526070166,0.4820336878951522,-0.09665386078908002,0.4820336878951522,-0.09665386078908002,,24,0.0,6.517328268959532e-20,9.005007294854755e-19,0.0,-6.84518826951709e-17,tracked,0.003024009975689794,0.9999999999999872
0.2,24,first_overtone,,,,,0.4621656388010395,-0.2953112990186832,0.4621656388010395,-0.2953112990186832,,24,0.0,2.1183414605450242e-20,2.9779068540822306e-19,0.0,-1.4757925490696015e-16,tracked,0.0010115415336808158,0.999999999883072
0.2,32,fundamental,0.4820323922542123,-0.09665347072094715,0.48204305025987254,-0.0966583526070166,0.48203368791930384,-0.09665386072209685,0.48203368791930384,-0.09665386072209685,,32,0.0,7.59182010822789e-21,1.8636199761124484e-19,0.0,-3.430825441153037e-15,tracked,0.001000000210003128,1.0000000000000002
0.2,32,first_overtone,,,,,0.46216558690205634,-0.29531129832555797,0.46216558690205634,-0.29531129832555797,,32,0.0,1.2562651431594026e-20,3.122867245744668e-19,0.0,1.5441908839688399e-15,leaver_validated_reference_grid,0.001000137221591843,0.9999999999999848
0.2,48,fundamental,0.4820323922542123,-0.09665347072094715,0.48204305025987254,-0.0966583526070166,0.48203368791956047,-0.09665386072271115,0.48203368791956047,-0.09665386072271115,,48,0.0,2.627657831892607e-21,1.46316130658485e-19,0.0,4.126286474634073e-14,tracked,0.0015055023003350402,1.0000000000000002
0.2,48,first_overtone,,,,,0.46216558410927894,-0.29531129661755395,0.46216558410927894,-0.29531129661755395,,48,0.0,1.7312656477965276e-21,9.718758371557648e-20,0.0,1.4566167425923743e-14,exploratory_high_n_overtone,0.0010000086548319447,1.0
0.2,64,fundamental,0.4820323922542123,-0.09665347072094715,0.48204305025987254,-0.0966583526070166,0.4820336879226819,-0.0966538607234787,0.4820336879226819,-0.0966538607234787,,64,0.0,2.2582781821480186e-21,2.254332677079602e-19,0.0,5.485443078224225e-14,tracked,0.0021713888665063513,0.9999999999999999
0.2,64,first_overtone,,,,,0.4621655590046142,-0.2953114076171413,0.4621655590046142,-0.2953114076171413,,64,0.0,1.0338092887351597e-21,1.0381985104896306e-19,0.0,-9.641711857348952e-15,exploratory_high_n_overtone,0.0010003008701754133,0.999999999999929
0.2,96,fundamental,0.4820323922542123,-0.09665347072094715,0.48204305025987254,-0.0966583526070166,0.48203368795486956,-0.09665386074813263,0.48203368795486956,-0.09665386074813263,,96,0.0,3.6251769476317545e-23,8.244484193809914e-21,0.0,-7.485541389115103e-14,publication_high_n,0.0010000001194600111,1.0000000000000002
0.2,96,first_overtone,,,,,0.46217263537194886,-0.295329805037738,0.46217263537194886,-0.295329805037738,,96,0.0,1.4554491724180013e-22,3.323056894822013e-20,0.0,-8.899370954400434e-14,exploratory_high_n_overtone,0.003022335305745805,0.9999999978672635
0.5,16,fundamental,0.4738865585220567,-0.09610682157299509,0.473894586504634,-0.09611286342549795,0.47388694582243346,-0.09610919396807033,0.47388694582243346,-0.09610919396807033,,16,0.0,2.6723930757375974e-19,1.6489457185141542e-18,0.0,-5.11413580423073e-17,tracked,0.0015662670374784287,
0.5,16,first_overtone,,,,,0.453646661609584,-0.29378825313457063,0.453646661609584,-0.29378825313457063,,16,0.0,1.665425656079936e-19,1.0561392689481468e-18,0.0,-3.500304006435869e-17,tracked,0.01679695927174486,
0.5,24,fundamental,0.4738865585220567,-0.09610682157299509,0.473894586504634,-0.09611286342549795,0.4738869263556322,-0.09610918276724292,0.4738869263556322,-0.09610918276724292,,24,0.0,1.4242077442614383e-20,1.9381632897001248e-19,0.0,-8.648556451674435e-16,tracked,0.0010000673494863573,0.9999999999999889
0.5,24,first_overtone,,,,,0.45364279656408063,-0.2937901721609516,0.45364279656408063,-0.2937901721609516,,24,0.0,1.7355826805290218e-20,2.4033907359353774e-19,0.0,-3.471928470106079e-16,tracked,0.0010115771815854787,0.9999999998923933
0.5,32,fundamental,0.4738865585220567,-0.09610682157299509,0.473894586504634,-0.09611286342549795,0.4738869263709161,-0.09610918270333074,0.4738869263709161,-0.09610918270333074,,32,0.0,6.99049979445164e-21,1.6911829419321447e-19,0.0,-7.336750527166374e-15,tracked,0.0010000001970547352,1.0000000000000002
0.5,32,first_overtone,,,,,0.4536427457066632,-0.29379018071495056,0.4536427457066632,-0.29379018071495056,,32,0.0,1.4684142855434683e-20,3.5977873275305475e-19,0.0,-6.514836176558369e-17,leaver_validated_reference_grid,0.0010001383601379473,0.9999999999999858
0.5,48,fundamental,0.4738865585220567,-0.09610682157299509,0.473894586504634,-0.09611286342549795,0.47388692637037416,-0.09610918270527134,0.47388692637037416,-0.09610918270527134,,48,0.0,2.2822491085030864e-21,1.2531691241365835e-19,0.0,7.796689175741562e-14,tracked,0.001284878317406299,1.0
0.5,48,first_overtone,,,,,0.4536427311344793,-0.2937901774023661,0.4536427311344793,-0.2937901774023661,,48,0.0,1.7617702954586975e-21,9.753212526353217e-20,0.0,-1.3399950432043438e-14,exploratory_high_n_overtone,0.00100004009261272,0.9999999999999987
0.5,64,fundamental,0.4738865585220567,-0.09610682157299509,0.473894586504634,-0.09611286342549795,0.473886926370446,-0.09610918270340535,0.473886926370446,-0.09610918270340535,,64,0.0,7.765570342745186e-22,7.646400716863114e-20,0.0,2.7042869411595305e-13,tracked,0.001323497404280137,1.0
0.5,64,first_overtone,,,,,0.4536427499524996,-0.2937901528632986,0.4536427499524996,-0.2937901528632986,,64,0.0,5.832168573851251e-22,5.777420283829025e-20,0.0,-1.5114682359291074e-14,exploratory_high_n_overtone,0.001000082964491575,0.999999999999995
0.5,96,fundamental,0.4738865585220567,-0.09610682157299509,0.473894586504634,-0.09611286342549795,0.4738869263759794,-0.096109182706946,0.4738869263759794,-0.096109182706946,,96,0.0,2.2720132789413015e-22,5.098060049711325e-20,0.0,1.7228630054292172e-12,publication_high_n,0.0020224879594920265,1.0
0.5,96,first_overtone,,,,,0.45364586568914556,-0.29379552129645037,0.45364586568914556,-0.29379552129645037,,96,0.0,1.1189352644312241e-22,2.5206874904935318e-20,0.0,-1.4173543789169017e-13,exploratory_high_n_overtone,0.001016652845022817,0.9999999997942007
1.0,16,fundamental,0.44836164922387384,-0.09424653874705577,0.44836213386809476,-0.0942490393856146,0.44836242586060293,-0.09424818425109038,0.44836242586060293,-0.09424818425109038,,16,0.0,1.647177849751202e-19,9.622586755027777e-19,0.0,-8.702009685556878e-17,tracked,0.005435896761649239,
1.0,16,first_overtone,,,,,0.4269742792113136,-0.2885697521693848,0.4269742792113136,-0.2885697521693848,,16,0.0,6.60408960163878e-20,3.968126650509209e-19,0.0,-7.88338721184456e-17,tracked,0.05252694989528066,
1.0,24,fundamental,0.44836164922387384,-0.09424653874705577,0.44836213386809476,-0.0942490393856146,0.448362409008405,-0.09424817920890874,0.448362409008405,-0.09424817920890874,,24,0.0,7.110688243839434e-21,9.199406031687914e-20,0.0,-1.1167103079233835e-15,tracked,0.0010000556703619098,0.9999999999999923
1.0,24,first_overtone,,,,,0.42697152681997463,-0.28857288010821247,0.42697152681997463,-0.28857288010821247,,24,0.0,3.431608575275269e-20,4.519634956635316e-19,0.0,7.748561812689318e-17,tracked,0.0010117230977886055,0.9999999999159092
1.0,32,fundamental,0.44836164922387384,-0.09424653874705577,0.44836213386809476,-0.0942490393856146,0.4483624090017799,-0.0942481791587782,0.4483624090017799,-0.0942481791587782,,32,0.0,1.212606820278114e-20,2.794290444993104e-19,0.0,1.1407935867574185e-15,tracked,0.002549035919636756,1.0000000000000002
1.0,32,first_overtone,,,,,0.4269714902744878,-0.28857291401866697,0.4269714902744878,-0.28857291401866697,,32,0.0,4.695697101283823e-21,1.0962146899825735e-19,0.0,5.933373958707633e-16,leaver_validated_reference_grid,0.0010001402740292408,0.9999999999999882
1.0,48,fundamental,0.44836164922387384,-0.09424653874705577,0.44836213386809476,-0.0942490393856146,0.44836240900104274,-0.09424817916188052,0.44836240900104274,-0.09424817916188052,,48,0.0,8.682424640421758e-22,4.549298753476956e-20,0.0,1.5967966848456924e-14,tracked,0.002577569590284431,1.0
1.0,48,first_overtone,,,,,0.4269714630214645,-0.28857291631029447,0.4269714630214645,-0.28857291631029447,,48,0.0,3.3403284293693485e-22,1.7649567205394502e-20,0.0,-1.7093550748510656e-15,exploratory_high_n_overtone,0.0010000769512173565,0.9999999999999963
1.0,64,fundamental,0.44836164922387384,-0.09424653874705577,0.44836213386809476,-0.0942490393856146,0.4483624090013222,-0.09424817915922012,0.4483624090013222,-0.09424817915922012,,64,0.0,1.6029816469574533e-21,1.5074571871703994e-19,0.0,-4.528745386220514e-13,tracked,0.0019179872675711771,1.0
1.0,64,first_overtone,,,,,0.426971482811342,-0.2885728799472149,0.426971482811342,-0.2885728799472149,,64,0.0,8.306072264338359e-22,7.859578732835427e-20,0.0,-2.989157393393145e-14,exploratory_high_n_overtone,0.0010001164837908929,0.9999999999999917
1.0,96,fundamental,0.44836164922387384,-0.09424653874705577,0.44836213386809476,-0.0942490393856146,0.44836240909457853,-0.09424817915768438,0.44836240909457853,-0.09424817915768438,,96,0.0,1.8726928222981483e-22,4.0165741278601735e-20,0.0,-4.615031622429949e-13,publication_high_n,0.001000000295155256,0.9999999999999999
1.0,96,first_overtone,,,,,0.4270355479326775,-0.28860895793753105,0.4270355479326775,-0.28860895793753105,,96,0.0,2.4796777372519366e-22,5.340117124720999e-20,0.0,1.1778375749835141e-14,exploratory_high_n_overtone,0.0018058153099602386,0.9999999735434828
